ExecutionId,CycleName,FolderName,"Issue Key","Test Summary",Project,Component,Version,Priority,"Executed By","Executed On",ExecutionStatus,ExecutionDefects,CreationDate,"Assigned To","Custom Fields","Work Flow Status","Total Execution Time","Total Logged Time",StepId,OrderId,Step,"Test Data","Expected Result","Step Result",Comments,"Step Custom Fields"
91aa6cf8-2db0-43c3-bf4d-f49365404651,REGRESSION,,EL-6,"LOG IN THE COURSE PAGE",E-learning,,"VERSION 1",Medium,"Shyam Sidhu","02-15-2022 12:02:49",PASS,,"02-15-2022 12:01:28","Shyam Sidhu",,CREATED,,,a0f011bb-7e52-4378-847a-396f59029153,1,"VALID LOGIN","ALPHA NUMERIC , SPECIAL CHARACTER","e-learning home page come proper",UNEXECUTED,,
91aa6cf8-2db0-43c3-bf4d-f49365404651,REGRESSION,,EL-6,"LOG IN THE COURSE PAGE",E-learning,,"VERSION 1",Medium,"Shyam Sidhu","02-15-2022 12:02:49",PASS,,"02-15-2022 12:01:28","Shyam Sidhu",,CREATED,,,3bef8ec0-1ad7-44d8-ba34-72b0f511d114,2,REGISTRATION,"USER NAME, PASSWORD","DETAILS ARE SAVED PROPERLY, HOME PAGE WILL APPEAR",UNEXECUTED,,
